Date,Text
2020-01-03,"RT @Guruleaks1: Exxon, Pfizer and Raytheon out of the Dow Jones, replaced by Salesforce, Amgen and Honeywell

$XOM $PFE  $RTX $CRM $AMGN $H…"
2020-01-06,"@johnwestfinance @TicTocTick Then again, $PFE stock performance has been abysmal for a long time, especially when compared to $AMGN."
2020-01-07,"RT @Street_Insider: Dow index changes were prompted by DJIA constituent Apple Inc.'s $AAPL decision to split its stock 4:1, which will redu…"
2020-01-08,"RT @Street_Insider: Dow index changes were prompted by DJIA constituent Apple Inc.'s $AAPL decision to split its stock 4:1, which will redu…"
2020-01-09,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-10,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-13,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-14,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-15,"RT @Street_Insider: Dow index changes were prompted by DJIA constituent Apple Inc.'s $AAPL decision to split its stock 4:1, which will redu…"
2020-01-16,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-17,"Monday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $PFE $REGN $MYL $EW $BAX $SYK $BIIB $LH $VAR $MCK… https://t.co/FhznBxKBao"
2020-01-21,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-22,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-23,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-01-24,"$CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were… https://t.co/wQfPt0paNE"
2020-01-27,"RT @Street_Insider: Dow index changes were prompted by DJIA constituent Apple Inc.'s $AAPL decision to split its stock 4:1, which will redu…"
2020-01-28,"Dow index changes were prompted by DJIA constituent Apple Inc.'s $AAPL decision to split its stock 4:1, which will… https://t.co/TY7Rl4KkAX"
2020-01-29,$PFE - Pfizer's Stock May Be Heading For A Big Breakout. https://t.co/GRYuvSWKDE  Great Dividend Stock BUY PFE !
2020-01-30,If you are willing to take the risk then #MRNA #AZN #BNTX #PFE are good bets on #vaccine for #COVIDー19.  Good buyin… https://t.co/7RNq9GwSVq
2020-01-31,"@ironlifemoney @HeroDividend @CollegeWealth @DivCultivator @Dividend_Dollar Dividend stocks: $INTC $PFE $XOM

Growt… https://t.co/wBdWoanHIc"
2020-02-03,RT @SeekingAlpha: $PFE - Pfizer's Stock May Be Heading For A Big Breakout. https://t.co/wdbI52sWJH #stockmarket #finance #stocks
2020-02-04,Pfizer's Stock May Be Heading For A Big Breakout $PFE https://t.co/78xj16X65K
2020-02-05,$PFE Stock May Be Heading For A Big Breakout https://t.co/RgV1PjZsbn
2020-02-06,$PFE - Pfizer's Stock May Be Heading For A Big Breakout. https://t.co/wdbI52sWJH #stockmarket #finance #stocks
