Date,Text
2020-07-09,"RT @chigrl: $AAPL stock split tomorrow...will be interesting...probably see an announcement that FB, GOOG, and AMZN are bidding TICTOK with…"
2020-07-10,"S&amp;P 500 (Aug 27), Top 10 StockMarket Sell Flow Stocks Animated $AAPL $MSFT $AMZN ... #stocks #stock #StockMarket… https://t.co/qSUBGvrG1q"
2020-07-13,"RT @chigrl: $AAPL stock split tomorrow...will be interesting...probably see an announcement that FB, GOOG, and AMZN are bidding TICTOK with…"
2020-07-14,"NASDAQ 100 (Aug 27), Top 10 StockMarket Sell Flow Stocks Animated $AAPL $MSFT $AMZN ... #stocks #stock #StockMarket… https://t.co/cGweDcWjd6"
2020-07-15,"RT @FatKidDeals: Antibacterial Wipes in stock- only 80 left!!

https://t.co/C9zi9vkD0M"
2020-07-16,"RT @FatKidDeals: Antibacterial Wipes in stock- only 80 left!!

https://t.co/C9zi9vkD0M"
2020-07-17,"Antibacterial Wipes in stock- only 80 left!!

https://t.co/C9zi9vkD0M https://t.co/IfflpfZ5Dm"
2020-07-20,"Cargo Shorts for $18!! 

https://t.co/IGV8WBlfMm

(11 colors in stock!) https://t.co/lVIbuc3Nl8"
2020-07-21,"RT @drose_999: If you’re considering joining a start-up, read this blog post from my partner @yanda. Most people don’t understand stock com…"
2020-07-22,@The_Real_Fly I wonder what happens to the $AMZN stock if the follow through.. take down of this stock whale and th… https://t.co/CS8t48L9Jj
2020-07-23,"RT @toysbeetle: Stock in back ‼️
Marvel Legends Series Wolverine (Amazon Exclusive) preorder on Amazon-https://t.co/McZm3r70ob

#marvellege…"
2020-07-24,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-07-27,@Lorenzo_Crespin @Swatdaddyyy @sarahschauer Do you realize that most of his net worth (aka the $200B) is just AMZN… https://t.co/OCCjesokEm
2020-07-28,@BDXL @legendsleague Lend a hand how? He doesn't have 200 billion. It is potential wealth tied to his stake in Amaz… https://t.co/gdI9KurnFL
2020-07-29,Just some Robinhooders subtely suggesting that $AMZN perform a stock split https://t.co/PsPGxEp0Gp
2020-07-30,"Back in stock!!

Wahl Fade Cut Haircutting Kit for $33.75!!

https://t.co/i8slifPEgy

#freebies #deals #deal… https://t.co/fhj2fmJm5v"
2020-07-31,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-08-03,"RT @HighDefDiscNews: #Bluray #Deal

BRUCE LEE: HIS GREATEST HITS set on Blu-ray Disc from The Criterion Collection is not only now back in…"
2019-12-31,"RT @seeitmarket: NEW Article: “Is Apple’s Stock Worthy of $2 Trillion Market Cap?” - https://t.co/zrPL9ED66r

by @MichaelLebowitz $AAPL $MS…"
2020-01-02,"Wahl Elite Pro Clippers back in stock- been sold out for weeks!

https://t.co/61OWwPkfp4 https://t.co/bpAdKWwsEn"
2020-01-03,RT @preterniadotcom: Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) - https://t.co/uDDZzwvDWm…
2020-01-06,RT @Cryptradamus: @aristelius @XboxLiveLogon @AmandaCerny Show me a stock at 52 wk low (not including covid crash) that has outperformed ts…
2020-01-07,RT @preterniadotcom: Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) - https://t.co/uDDZzwvDWm…
2020-01-08,"RT @HighDefDiscNews: #Bluray #Deal

BRUCE LEE: HIS GREATEST HITS set on Blu-ray Disc from The Criterion Collection is not only now back in…"
2020-01-09,RT @preterniadotcom: Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) - https://t.co/uDDZzwvDWm…
2020-01-10,"#Bluray #Deal

BRUCE LEE: HIS GREATEST HITS set on Blu-ray Disc from The Criterion Collection is not only now back… https://t.co/6RtwQqMx8v"
2020-01-13,RT @FreddyInSpace: The weirdest thing about Underwater is that you cannot buy the DVD or Blu-ray directly from Amazon and I'm pretty sure t…
2020-01-14,RT @preterniadotcom: Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) - https://t.co/uDDZzwvDWm…
2020-01-15,RT @preterniadotcom: Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) - https://t.co/uDDZzwvDWm…
2020-01-16,RT @preterniadotcom: Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) - https://t.co/uDDZzwvDWm…
2020-01-17,"Pure Clean Robo Vacuum back in stock for $94!!

https://t.co/2KVm1uMQ8L

#freebies #deals #deal #moneysaver… https://t.co/nYuOHM5rdN"
2020-01-21,RT @preterniadotcom: Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) - https://t.co/uDDZzwvDWm…
2020-01-22,Marvel Legends A.I.M. Troop Builder 2-pack has been relisted and in stock at Amazon ($39.99) -… https://t.co/KyhHSo6kra
2020-01-23,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-01-24,"RT @seeitmarket: NEW Article: “Is Apple’s Stock Worthy of $2 Trillion Market Cap?” - https://t.co/zrPL9ED66r

by @MichaelLebowitz $AAPL $MS…"
2020-01-27,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-01-28,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-01-29,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-01-30,@MPelletierCIO Would be nice to see ex-MSFT/AMZN/GOOG/FB/AAPL
2020-01-31,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-02-03,"RT @toysbeetle: Stock in back ‼️
McFarlane Toys DC Multiverse Batman (Dark Nights: Metal) on Amazon-https://t.co/0TGGgb84k1"
2020-02-04,"RT @chigrl: $AAPL stock split tomorrow...will be interesting...probably see an announcement that FB, GOOG, and AMZN are bidding TICTOK with…"
2020-02-05,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
